Date, Area, Obs, Grid, Alt, Aspect, Incline, Location, Air Temp, Wind Dir, Wind Speed, Cloud, Precip Code, Drift, Total Snow Depth, Foot Pen, Ski Pen, Rain at 900, Summit Air Temp, Summit Wind Dir, Summit Wind Speed, Observed aval. hazard, Forecast aval. hazard, Avalanche Code, Max Temp Grad, Max Hardness Grad, No Settle, Snow Index, Insolation, Crystals, Wetness, AV Cat, Snow Temp, Comments
"2018-04-14 12:50:00","Creag Meagaidh","TR","391851","800","40","35","East ridge. Beinn a Chaorainn","5.50","220.00","10.00","70","0 - None","0","300","11.00","0","0","4.00","225","15","Low","Low","0","0.00","1","332","0","20","0","2","0","0.00","Isothermal snowpack. Generally well stabilised moist snowpack. Debris from recent cornice collapse on one of Beinn a Chaorainn's East faces.",
"2018-04-14 12:30:00","Southern Cairngorms","PN","245860","1100","30","30","Lochnagar top of West ridge.","3.10","195.00","12.00","50","0 - None","0","90","4.00","0","0","3.60","177","11","Low","Low","0","0.00","2","212","0","20","0","1","0","0.00","Not to ground",
"2018-04-14 12:30:00","Lochaber","BM","195748","980","80","40","Aonach an Nid","6.10","180.00","5.00","80","0 - None","0","210","8.00","0","0","2.00","190","15","Low","Low","0","0.00","2","332","0","20","0","1","0","0.00","Stable spring snowpack.",
"2018-04-14 11:55:00","Northern Cairngorms","KG","012042","1095","120","30","E side Cairngorm","3.70","220.00","20.00","30","0 - None","0","90","15.00","0","0","3.80","188","15","Low","Low","0","0.00","3","264","0","20","0","2","0","0.00","",
"2018-04-14 11:25:00","Glencoe","PM","252504","1100","8","17","Meall a Bhuiridh","2.40","214.00","4.00","100","0 - None","0","140","12.00","0","0","2.00","180","12","Low","Low","0","0.00","1","310","0","20","0","2","0","0.00","",
"2018-04-14 10:47:00","Torridon","AC","942567","300","142","26","Liathach","13.10","175.00","3.00","5","0 - None","0","0","0.00","0","0","4.00","203","18","Low","Low","0","","","256","0","20","0","2","0","0.00","No snow at location.",
"2018-04-13 14:09:00","Southern Cairngorms","PN","160770","920","20","25","Corie Fionn","1.80","60.00","8.00","100","0 - None","0","110","7.00","0","0","1.40","53","17","Low","Low","0","0.00","2","212","0","20","0","1","0","0.00","Very poor visibility.",
"2018-04-13 12:20:00","Creag Meagaidh","TR","433881","750","50","28","Entrance to Easy Gully Coire Ardair.","4.00","140.00","10.00","100","0 - None","0","310","12.00","0","1","2.50","145","20","Low","Low","0","0.00","1","332","0","20","0","2","0","0.00","Snowpack wet and isothermal at all elevations. Fairly recent full depth avalanche debris in many places on the Post Face. Generally stability is good though full depth avalanche potential increasing in the thaw.",
"2018-04-13 12:12:00","Lochaber","BF","195742","1050","20","20","Climber's Col Aonach Mor","3.20","120.00","5.00","100","0 - None","0","78","10.00","0","0","2.50","130","15","Low","Low","0","0.00","1","332","0","20","0","2","0","0.00","Generally stable spring snowpack",
"2018-04-13 12:00:00","Northern Cairngorms","KG","998042","1050","60","25","Cas Ridge","2.70","160.00","20.00","100","0 - None","0","280","3.00","0","0","1.60","125","29","Low","Low","0","0.00","2","264","0","20","0","2","0","0.00","",
