Date,Area,Obs,Grid,Alt,Aspect,Incline,Location,Air Temp,Wind Dir,Wind Speed,Cloud,Precip Code,Drift,Total Snow Depth,Foot Pen,Ski Pen,Rain at 900,Summit Air Temp,Summit Wind Dir,Summit Wind Speed,Observed aval. hazard,Forecast aval. hazard,Avalanche Code,Max Temp Grad,Max Hardness Grad,No Settle,Snow Index,Insolation,Crystals,Wetness,AV Cat,Snow Temp,Comments
"2018-04-14 12:30:00","Southern Cairngorms","PN","245860","1100","30","30","Lochnagar top of West ridge.","3.10","195.00","12.00","50","0 - None","0","90","4.00","0","0","3.60","177","11","Low","Low","0","0.00","2","212","0","20","0","1","0","0.00","Not to ground",
"2018-04-13 14:09:00","Southern Cairngorms","PN","160770","920","20","25","Corie Fionn","1.80","60.00","8.00","100","0 - None","0","110","7.00","0","0","1.40","53","17","Low","Low","0","0.00","2","212","0","20","0","1","0","0.00","Very poor visibility.",
"2018-04-12 11:40:00","Southern Cairngorms","PN","244859","1100","100","20","Above Black Spout Right hand.","1.60","50.00","8.00","30","0 - None","0","210","7.00","0","0","3.20","148","12","Low","Low","0","0.00","2","212","0","20","0","1","0","0.00","Felt cold in the strong Easterly winds. Pit site back from the edge in more sheltered area.",
"2018-04-11 11:30:00","Southern Cairngorms","PN","160770","920","20","25","Corrie Fionn","2.90","90.00","14.00","95","0 - None","0","125","11.00","0","0","2.10","88","19","Low","Low","0","0.00","3","212","0","20","0","1","0","0.00","An older avalanche site perhaps why there isn't much surface snow also still a very hard crust around 34cm.",
"2018-04-10 11:50:00","Southern Cairngorms","PN","209850","890","280","34","Burn from t-Saigairt col. ","0.40","70.00","14.00","100","0 - None","0","200","10.00","0","1","2.80","267","15","Low","Low","0","0.00","2","212","0","20","0","1","0","0.00","Slightly cooler. Rain at this level.",
"2018-04-09 11:30:00","Southern Cairngorms","PN","134777","900","254","28","The Cairnwell E side.","2.80","161.00","9.00","90","0 - None","0","180","18.00","0","0","2.80","267","15","Moderate","Low","0","0.00","2","212","0","20","0","1","0","0.00","",
"2018-04-08 13:56:00","Southern Cairngorms","PN","170771","965","90","22","E face Glas Maol","2.90","324.00","5.00","40","0 - None","0","210","21.00","0","0","2.80","267","10","Moderate","Moderate","0","0.00","2","212","0","20","0","1","0","0.00","Wet grains and isothermic throughout.",
"2018-04-07 11:50:00","Southern Cairngorms","PN","254855","860","340","22","Lochnagar Corrie. North-West aspects.","3.30","40.00","8.00","85","0 - None","0","110","12.00","0","0","2.40","225","10","Moderate","Moderate","1021","0.00","3","212","0","20","0","1","0","0.00","Multiple avalanches overnight and evidence of surface instabilities. 1 avalanche observed around 12.30 when sun came out.",
"2018-04-06 12:00:00","Southern Cairngorms","PN","160769","990","300","28","Glas Maol West aspect.","-0.10","180.00","9.00","100","2 - Trace","1","60","12.00","0","0","-0.30","188","26","Considerable -","Moderate","4400","0.90","3","210","0","20","0","2","0","-1.30","Safe pit site not deep snow here. ",
"2018-04-05 12:30:00","Southern Cairngorms","PN","256834","850","155","22","Creag a Ghlas Uillt","-2.60","310.00","12.00","40","4 - Light Showers","1","115","11.00","0","0","-3.30","228","31","Considerable -","Considerable -","1011","1.30","2","206","0","20","0","1","0","-2.30","Small avalanche noted start zone SW aspect 600metres.",
"2018-04-04 11:40:00","Southern Cairngorms","PN","129778","850","200","28","Top of Corre Direch SW aspects.","-2.20","20.00","22.00","100","8 - Snow","1","240","28.00","0","0","-4.30","40","27","Considerable +","Considerable -","8800","0.40","2","198","0","20","0","1","0","-2.50","Deep accumulations in lee locations.",
"2018-04-03 12:38:00","Southern Cairngorms","PN","156772","900","245","28","Meall Odhar","-1.50","60.00","11.00","100","4 - Light Showers","1","250","21.00","0","0","-2.80","65","32","Considerable -","Considerable +","4400","1.30","2","194","0","20","0","1","0","-2.30","",
"2018-04-02 12:00:00","Southern Cairngorms","CB KB","282872","800","290","31","Conachcraig","-1.70","80.00","8.00","100","6 - Snow Showers","1","165","12.00","0","0","-4.30","90","34","Moderate","Considerable -","0","0.70","3","188","0","20","5","1","0","-1.70","Lot of graupel evident throughout day and in snow profile.
Air space below ice mass at 72.",
